Job_Role,Company_Name,City,Work_type,Salary,Job_function,Description,Post_Time
Church Planter and State Intercessor,Vine City Church International,Rest of Nigeria (Nationwide),Full Time,"75,000 - 150,000",Management & Business Development,Today,We are looking to recruit a person who will coordinate evangelistic outreach efforts for the congregation and maintain all communications for missions and outreach.
IT Staff,Market Trends International,Lagos,Full Time,"150,000 - 250,000",Engineering & Technology,Today,"We are seeking a skilled and proactive IT Staff member to support our organization's technology infrastructure. The IT Staff will be responsible for maintaining hardware and software systems, troubleshooting technical issues, assisting employees with IT-related concerns, and ensuring data security and network efficiency. The ideal candidate wil ..."
Office Manager,O B BAKER LTD.,Lagos,Full Time,"75,000 - 150,000",Admin & Office,Today,"The Office Manager will oversee daily administrative operations, ensuring smooth coordination of office activities."
Data Processing Staff,Market Trends International,Lagos,Full Time,"150,000 - 250,000",Software & Data,Today,"We are looking for a detail-oriented Data Processing Staff member to manage, organize, and process data efficiently. The ideal candidate will be responsible for inputting, verifying, and analyzing data to support business operations and decision-making. This role requires strong attention to detail, accuracy, and proficiency with data managemen ..."
Project Manager (Engineer),The Address Homes,Lagos,Full Time,"400,000 - 600,000",Product & Project Management,Today,"We are a leading estate development company with a proven track record of delivering premium residential real estate projects across Nigeria. We are seeking an experiencedProject Manager (Engineer) to join our dynamic team and oversee the planning, execution, and delivery of large-scale development projects in Lagos. The Project Manager (Engine ..."
Sales Representative,Xtralarge Foods & Agricultural services Ltd,Remote (Work From Home),Full Time,"75,000 - 150,000",Sales,Today,"Sales Representatives will be responsible for driving customer acquisition by pitching farm resort offerings to individual clients, families, travel agencies, corporates, and event planners."
Business Development Officer,Drok Energy Limited,Lagos,Full Time,"75,000 - 150,000",Marketing & Communications,Yesterday,We are seeking a proactive and ambitious Business Development Officer to support our expansion in the oil and gas sector. The successful candidate will focus on securing marine vessel and drilling service contracts by engaging with International Oil Companies (IOCs) and independent oil firms. This is an exciting opportunity for professionals pa ...
Sales Representative,FireBrand Industries Limited,Rest of Nigeria (Akwa Ibom),Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Sales Representative,FireBrand Industries Limited,Imo,Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Sales Representative,FireBrand Industries Limited,Rest of Nigeria (Ebonyi),Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
Sales Representative,FireBrand Industries Limited,Rest of Nigeria (Anambra),Full Time,"75,000 - 150,000",Sales,4 days ago,"A Trading Company in a leading FMCG with a major presence in the South-South, South-East region of Nigeria is looking to hire a suitable candidate to fill this position."
